price_per_100g,price_per_100g,price_per_100g,price_per_100g,price_per_100g_protein,price_per_100g_protein,price_per_100g_protein,price_per_100g_protein
mean,median,std,count,mean,median,std,count
6.84,6.84,,1,9.5,9.5,,1
6.43,6.43,,1,11.69,11.69,,1
6.26,6.26,,1,8.24,8.24,,1
6.09,6.09,,1,10.5,10.5,,1
5.96,5.96,,1,7.36,7.36,,1
5.92,5.92,0.05,2,9.86,9.86,0.08,2
5.53,5.42,1.57,3,9.24,7.53,3.7,3
5.46,5.37,2.19,14,6.92,6.8,2.9,14
5.43,5.43,,1,8.35,8.35,,1
5.36,3.8,5.28,22,6.91,5.46,6.51,22
5.3,4.42,1.56,3,6.62,6.6,1.0,3
5.17,5.17,,1,10.34,10.34,,1
5.03,5.03,,1,8.67,8.67,,1
4.78,4.7,1.38,3,7.78,7.97,1.31,3
4.64,4.64,,1,6.03,6.03,,1
4.47,4.47,,1,6.48,6.48,,1
4.29,4.29,,1,5.64,5.64,,1
4.17,4.17,,1,6.95,6.95,,1
4.14,4.14,0.84,2,6.08,6.08,0.21,2
4.11,4.11,,1,7.21,7.21,,1
4.02,3.54,1.08,4,6.39,5.88,1.29,4
4.02,4.02,0.0,2,5.02,5.02,0.0,2
3.95,3.76,0.92,3,6.0,5.08,2.36,3
3.42,2.99,0.74,3,5.63,5.69,0.16,3
3.38,3.38,,1,4.83,4.83,,1
3.3,3.1,1.21,9,4.8,4.49,1.7,9
3.17,2.78,1.54,15,3.99,3.47,1.92,15
2.91,2.91,,1,5.02,5.02,,1
2.89,2.89,0.16,2,4.35,4.35,0.01,2
2.7,2.7,,1,3.75,3.75,,1
