price_per_100g,price_per_100g_protein,brand,protein_source,protein_type,protein_complexity,organic_true,gmofree_true
1.28,1.64,Myprotein,Plant-based,Rice,Single source,False,False
1.45,1.91,ProteinWorks,Plant-based,Pea,Single source,False,False
1.95,2.17,Myprotein,Plant-based,Soy,Single source,False,False
1.25,2.19,Myprotein,Unknown,Protein Blend (Unspecified),Unknown,False,False
2.0,2.35,Bulk,Plant-based,Soy,Single source,False,False
2.0,2.5,Bulk,Plant-based,Rice,Single source,False,False
2.08,2.6,Myprotein,Plant-based,Pea,Single source,False,False
1.85,2.72,PhD Nutrition,Animal-based,Whey,Single source,False,False
1.8,3.05,PhD Nutrition,Animal-based,"Milk, Whey",Blend,False,False
2.66,3.09,ProteinWorks,Plant-based,Soy,Single source,False,False
2.56,3.12,Myprotein,Animal-based,Casein,Single source,False,False
2.56,3.16,Myprotein,Animal-based,Casein,Single source,False,False
2.56,3.16,Myprotein,Animal-based,Casein,Single source,False,False
3.2,3.3,Bulk,Animal-based,Beef,Single source,False,False
2.88,3.47,Myprotein,Animal-based,Whey,Single source,False,False
3.0,3.49,Bulk,Animal-based,Casein,Single source,False,False
2.7,3.75,Axe and Sledge,Animal-based,Whey,Single source,False,False
3.08,3.76,Myprotein,Animal-based,Whey,Single source,False,False
2.78,3.92,Myprotein,Plant-based,Plant Blend,Blend,False,False
3.1,3.97,Bulk,Animal-based,"Milk, Whey, Egg",Blend,False,False
2.0,4.0,Bulk,Plant-based,Hemp,Single source,False,False
2.94,4.08,Bulk,Plant-based,Plant Blend,Blend,False,True
2.78,4.09,PhD Nutrition,Animal-based,Whey,Single source,False,True
3.37,4.16,Myprotein,Animal-based,"Milk, Whey, Egg, Casein",Blend,False,False
3.02,4.19,PhD Nutrition,Plant-based,Plant Blend,Blend,False,True
3.81,4.23,Myprotein,Animal-based,Whey,Single source,False,False
3.13,4.23,Optimum Nutrition,Animal-based,Whey,Single source,False,False
3.2,4.27,Bulk,Animal-based,"Milk, Whey, Egg",Blend,False,False
2.78,4.34,RedCon1,Mixed,"Salmon, Beef, Rice, Pea",Blend,False,False
3.01,4.36,RedCon1,Mixed,"Salmon, Beef, Rice, Pea",Blend,False,False
3.92,4.4,ProteinWorks,Plant-based,Plant Blend,Blend,False,False
3.86,4.49,PhD Nutrition,Plant-based,Plant Blend,Blend,False,True
3.6,4.56,PhD Nutrition,Plant-based,Plant Blend,Blend,False,False
3.38,4.83,Bucked Up,Animal-based,Whey,Single source,False,False
3.8,4.94,Bulk,Animal-based,Whey,Single source,False,False
4.02,5.02,Ascent Protein,Animal-based,Whey,Single source,False,False
2.91,5.02,True Athlete,Animal-based,Whey,Single source,False,False
4.02,5.02,Ascent Protein,Animal-based,Whey,Single source,False,False
3.1,5.08,PhD Nutrition,Animal-based,"Milk, Whey, Casein",Blend,False,False
3.76,5.08,Optimum Nutrition,Animal-based,Whey,Single source,False,False
3.0,5.17,Bulk,Animal-based,Whey,Single source,False,False
3.8,5.28,Bulk,Animal-based,Whey,Single source,False,False
