product_name,brand,ingredients,product_tags,energy_kj,energy_kcal,protein,fat_total,fat_saturated,carbs_total,carbs_sugar,fiber,salt,price_per_100g,price_per_100g_protein,protein_type
Brown Rice Protein ,Myprotein,"Brown Rice Protein, ['100%']","vegetarian, vegan, gluten free, dairy free, lactose free, soy free",1791,423,78.0,2.1,0.4,3.8,1,8,<0.01 g,1.28,1.64,Plant-based
Vegan Pea Protein ,ProteinWorks,"Pea Protein Isolate, Fat-Reduced Cocoa Powder, Flavouring, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose']","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1676,397,76.0,5.6,1.3,8.1,0.3,2.6,1,1.45,1.91,Plant-based
Impact Soy Protein,Myprotein,"Soy Protein Isolate, ['100%']","vegetarian, vegan, dairy free, lactose free, gluten free",1505,360,90.0,1.5,,1.8,,,0.5,1.95,2.17,Plant-based
Protein Hot Chocolate,Myprotein,"Protein Blend, ['61%'], Cocoa Powder, Natural Flavouring, Sweetener, ['Sucralose'], Emulsifier, ['Soy Lecithin']","gluten free, vegetarian, dairy free, lactose free, vegan",1419,335,57.0,2.3,1.6,19.0,17,4.4,1.3,1.25,2.19,Unknown
Soya Protein Isolate,Bulk,100% Soya Protein Isolate,"vegetarian, vegan, halal, dairy free, lactose free, gluten free",1525,364,85.0,0.4,0.0,3.5,0,0.2,2.6,2.0,2.35,Plant-based
Brown Rice Protein,Bulk,Brown Rice Protein,"vegetarian, vegan, halal, dairy free, lactose free, soy free, gluten free",1585,374,80.0,3.5,1.1,3.8,0.1,3.8,0.53,2.0,2.5,Plant-based
Impact Pea Protein,Myprotein,"Pea Protein Isolate, ['100%']","vegetarian, vegan, dairy free, lactose free, soy free, gluten free",1624,388,80.0,5.5,1.0,2.6,1,4.1,1.9,2.08,2.6,Plant-based
Diet Whey Protein ,PhD Nutrition,"PhD Premium Protein Blend, ['Whey* Protein Concentrate', ['Milk Protein Concentrate', ['Of Which 80% Is Micellar Casein']], 'Soya Protein Isolate'], Waxy Barley Flour, Golden Brown Flaxseed Powder, Thickeners, ['Acacia Gum', 'Guar Gum', 'Xanthan Gum'], Flavouring, Conjugated Linoleic Acid Powder, [['Safflower Oil', ['Rich in Conjugated Linoeic Acid']], 'Glucose Syrup', 'Milk Protein', ['Emulsifier', ['Soya Lecithin']], 'Vitamin E'], L-Carnitine, Green Tea Extract, Sweetener, ['Sucralose']","vegetarian, gluten free",1528,365,68.0,5.5,1.6,11.0,5,3,0.63,1.85,2.72,Animal-based
Smart Protein,PhD Nutrition,"Whey Protein Concentrate, ['Milk'], Milk Protein Concentrate, Whole Grain Oat Flour, ['Gluten'], Flavourings, Sodium Chloride, Stabilisers, ['Acacia Gum', 'Xanthan Gum', 'Guar Gum'], Sweetener, ['Sucralose']","vegetarian, soy free, WPC, whey",1602,380,59.0,8.4,4.9,14.0,2,7.3,0.77,1.8,3.05,Animal-based
Vegan Soy Protein ,ProteinWorks,"Soy Protein Isolate, Flavouring, Colour, ['E150c'], Sweetener, ['Sucralose']","vegetarian, dairy free, lactose free, vegan, gluten free",1561,373,86.0,0.4,,6.4,0.1,0.5,2.5,2.66,3.09,Plant-based
Impact Casein Powder,Myprotein,"Micellar Casein, ['Milk']","vegetarian, gluten free, soy free",1485,350,82.0,1.2,0.7,4.7,4.6,0.01,0.6,2.56,3.12,Animal-based
Impact Casein Powder,Myprotein,Milk Protein Concentrate,"vegetarian, soy free, gluten free",1494,357,81.0,1.0,1.0,4.5,4.5,,0.3,2.56,3.16,Animal-based
Impact Casein Powder,Myprotein,"PeptoPro*®*, ['Casein Hydrosylate']","vegetarian, gluten free, dairy free, lactose free, vegan, soy free",1441,340,81.0,1.5,,0.5,,,3.8,2.56,3.16,Animal-based
Beef Protein Isolate 97,Bulk,"Hydrolysed Beef Protein Isolate, ['HydroBEEF™']","dairy free, lactose free, soy free, gluten free",1705,402,97.0,1.5,0.5,0.0,0,0,1.65,3.2,3.3,Animal-based
Impact Diet Whey,Myprotein,"Whey Protein, ['89%'], Natural Flavouring, [['Sweetener', ['Sucralose']]], Inulin Powder, ['Fructo-Oligosaccharide'], Vitamin and Mineral Blend, ['Magnesium Oxide', ['Vitamin C', ['Ascorbic Acid']], ['Iron', ['Ferrous Fumarate']], ['Vitamin E', ['DL-Alpha Tocopheryl Acetate']], 'Vitamin B3', 'Vitamin A', 'Zinc Oxide', 'Vitamin B6', 'Vitamin D3', 'Vitamin B1', 'Vitamin B2', 'Vitamin B12', 'Folic Acid', 'Potassium Iodide'], Conjugated Linoleic Acid Triglycerides, ['Conjugated Linoleic Acid Triglycerides', 'Malto Oligosacchride'], Choline Bitartrate, [['contains: Anti-caking agent', ['Silicon Dioxide']]]","vegetarian, gluten free, soy free, whey",1615,381,83.0,2.5,0.6,6.5,2.7,<0.5g,0.4,2.88,3.47,Animal-based
