source_page,scraped_at,extraction_method,title,product_url,brand,image_url,product_slug,ingredients,nutrition_info,product_tags,price_per_100g,price_per_100g_protein,price_summary,muchproteins_url
1,2025-07-26T19:16:18.588312,muchproteins_json,Brown Rice Protein ,https://www.myprotein.com/sports-nutrition/brown-rice-protein/10530779.html,Myprotein,brown-rice-protein-bd2f322e5ecf2c762493321da7988231-500px.png,brown-rice-protein,"Brown Rice Protein, ['100%']","{'': 'per 100 g', 'energy': {'kj': 1791, 'kcal': 423}, 'fat': {'all': 2.1, 'saturated': 0.4}, 'carbohydrates': {'all': 3.8, 'sugar': 1}, 'fibre': 8, 'protein': 78, 'salt': '&lt;0.01 g'}","vegetarian, vegan, gluten free, dairy free, lactose free, soy free",1.28,1.64,"{'min': {'value': 21, 'grams': 2500, 'currency': 'EUR', 'rawValue': '€21.00', 'baseValue': 21, 'baseCurrency': 'EUR', 'date': '2023-02-28T09:32:36Z', 'dateUpdated': '2023-03-03T02:20:04Z', 'pricePer100g': 0.84, 'pricePerProtein100g': 1.08}, 'max': {'value': 25.76, 'grams': 1000, 'currency': 'EUR', 'rawValue': '£21.99', 'baseValue': 21.99, 'baseCurrency': 'GBP', 'date': '2023-08-21T02:31:20Z', 'pricePer100g': 2.58, 'pricePerProtein100g': 3.31}, 'latest': {'value': 31.89, 'grams': 2500, 'currency': 'EUR', 'rawValue': '£27.23', 'baseValue': 27.23, 'baseCurrency': 'GBP', 'date': '2024-02-03T02:32:16Z'}, 'discount': 50, 'distanceFromMin': 0.5599999999999998, 'distanceFromMax': 1.6700000000000002}",/protein/brown-rice-protein
1,2025-07-26T19:16:18.588363,muchproteins_json,Vegan Pea Protein ,https://www.theproteinworks.com/pea-protein-80,ProteinWorks,vegan-pea-protein-ae7b3ed5345c44078d41443f9f641dc9-500px.png,vegan-pea-protein,"Pea Protein Isolate, Fat-Reduced Cocoa Powder, Flavouring, Thickener, ['Xanthan Gum'], Sweetener, ['Sucralose']","{'energy': {'kj': 1676, 'kcal': 397}, 'fat': {'all': 5.6, 'saturated': 1.3}, 'carbohydrates': {'all': 8.1, 'sugar': 0.3}, 'fibre': 2.6, 'protein': 76, 'salt': 1}","vegetarian, dairy free, lactose free, vegan, soy free, gluten free",1.45,1.91,"{'min': {'value': 31.94, 'grams': 4000, 'currency': 'EUR', 'rawValue': '26.49£', 'baseValue': 26.49, 'baseCurrency': 'GBP', 'date': '2024-12-04T02:53:23Z', 'pricePer100g': 0.8, 'pricePerProtein100g': 1.05}, 'max': {'value': 15.89, 'grams': 500, 'currency': 'EUR', 'rawValue': '13.99£', 'baseValue': 13.99, 'baseCurrency': 'GBP', 'date': '2023-03-31T17:31:48Z', 'pricePer100g': 3.18, 'pricePerProtein100g': 4.18}, 'latest': {'value': 57.95, 'grams': 4000, 'currency': 'EUR', 'rawValue': '47.99£', 'baseValue': 47.99, 'baseCurrency': 'GBP', 'date': '2024-12-10T03:06:14Z'}, 'discount': 54, 'distanceFromMin': 0.8599999999999999, 'distanceFromMax': 2.2699999999999996}",/protein/vegan-pea-protein
1,2025-07-26T19:16:18.588391,muchproteins_json,Impact Soy Protein,https://www.myprotein.com/sports-nutrition/soy-protein-isolate/10529701.html,Myprotein,impact-soy-protein-f2e1487d426b05e2ca1ac39f13b2a587-500px.png,impact-soy-protein,"Soy Protein Isolate, ['100%']","{'': 'of which sugars', 'energy': {'kj': 1505, 'kcal': 360}, 'fat': {'all': 1.5}, 'carbohydrates': {'all': 1.8}, 'protein': 90, 'salt': 0.5}","vegetarian, vegan, dairy free, lactose free, gluten free",1.95,2.17,"{'min': {'value': 9.09, 'grams': 2500, 'currency': 'EUR', 'rawValue': '€9.09', 'baseValue': 9.09, 'baseCurrency': 'EUR', 'date': '2024-06-25T02:38:30Z', 'pricePer100g': 0.36, 'pricePerProtein100g': 0.4}, 'max': {'value': 18.99, 'grams': 500, 'currency': 'EUR', 'rawValue': '€18.99', 'baseValue': 18.99, 'baseCurrency': 'EUR', 'date': '2024-06-19T02:38:55Z', 'pricePer100g': 3.8, 'pricePerProtein100g': 4.22}, 'latest': {'value': 9.73, 'grams': 500, 'currency': 'EUR', 'rawValue': '€9.73', 'baseValue': 9.73, 'baseCurrency': 'EUR', 'date': '2024-09-25T02:54:39Z'}, 'discount': 49, 'distanceFromMin': 1.77, 'distanceFromMax': 2.05}",/protein/impact-soy-protein
1,2025-07-26T19:16:18.588417,muchproteins_json,Protein Hot Chocolate,https://www.myprotein.com/sports-nutrition/protein-hot-chocolate/10926373.html,Myprotein,protein-hot-chocolate-53d1ec0b0b3a1b8dbd0723e9d763f6b4-500px.png,protein-hot-chocolate,"Protein Blend, ['61%'], Cocoa Powder, Natural Flavouring, Sweetener, ['Sucralose'], Emulsifier, ['Soy Lecithin']","{'': 'per 100g', 'energy': {'kj': 1419, 'kcal': 335}, 'fat': {'all': 2.3, 'saturated': 1.6}, 'carbohydrates': {'all': 19, 'sugar': 17}, 'fibre': 4.4, 'protein': 57, 'salt': 1.3}","gluten free, vegetarian, dairy free, lactose free, vegan",1.25,2.19,"{'min': {'value': 8.7, 'grams': 1000, 'currency': 'EUR', 'rawValue': '€8.70', 'baseValue': 8.7, 'baseCurrency': 'EUR', 'date': '2023-04-29T02:36:40Z', 'pricePer100g': 0.87, 'pricePerProtein100g': 1.53}, 'max': {'value': 45.99, 'grams': 1000, 'currency': 'EUR', 'rawValue': '€45.99', 'baseValue': 45.99, 'baseCurrency': 'EUR', 'date': '2024-06-19T02:38:55Z', 'pricePer100g': 4.6, 'pricePerProtein100g': 8.07}, 'latest': {'value': 12.46, 'grams': 1000, 'currency': 'EUR', 'rawValue': '£10.52', 'baseValue': 10.52, 'baseCurrency': 'GBP', 'date': '2024-09-10T02:43:37Z'}, 'discount': 73, 'distanceFromMin': 0.6599999999999999, 'distanceFromMax': 5.880000000000001}",/protein/protein-hot-chocolate
1,2025-07-26T19:16:18.588443,muchproteins_json,Soya Protein Isolate,https://www.bulk.com/eu/soya-protein-isolate-90.html,Bulk,soya-protein-isolate-9ba460463064d661ea97d3a2c2215dc2-500px.png,soya-protein-isolate,100% Soya Protein Isolate,"{'energy': {'kj': 1525, 'kcal': 364}, 'fat': {'all': 0.4, 'saturated': 0}, 'carbohydrates': {'all': 3.5, 'sugar': 0}, 'fibre': 0.2, 'protein': 85, 'salt': 2.6}","vegetarian, vegan, halal, dairy free, lactose free, gluten free",2.0,2.35,"{'min': {'value': 64.99, 'grams': 5000, 'currency': 'EUR', 'rawValue': '€64.99', 'date': '2022-11-19T02:11:31Z', 'pricePer100g': 1.3, 'pricePerProtein100g': 1.53}, 'max': {'value': 26.99, 'grams': 1000, 'currency': 'EUR', 'rawValue': '€26.99', 'date': '2022-11-30T13:39:29Z', 'dateUpdated': '2022-12-04T02:02:16Z', 'pricePer100g': 2.7, 'pricePerProtein100g': 3.18}, 'latest': {'value': 99.99, 'grams': 5000, 'currency': 'EUR', 'rawValue': '€99.99', 'baseValue': 99.99, 'baseCurrency': 'EUR', 'date': '2024-05-15T02:39:15Z'}, 'discount': 26, 'distanceFromMin': 0.8200000000000001, 'distanceFromMax': 0.8300000000000001}",/protein/soya-protein-isolate
1,2025-07-26T19:16:18.588468,muchproteins_json,Brown Rice Protein,https://www.bulk.com/eu/brown-rice-protein-80.html,Bulk,brown-rice-protein-8370be09d932fe8775a2895356eaa062-500px.png,brown-rice-protein,Brown Rice Protein,"{'energy': {'kj': 1585, 'kcal': 374}, 'fat': {'all': 3.5, 'saturated': 1.1}, 'carbohydrates': {'all': 3.8, 'sugar': 0.1}, 'fibre': 3.8, 'protein': 80, 'salt': 0.53}","vegetarian, vegan, halal, dairy free, lactose free, soy free, gluten free",2.0,2.5,"{'min': {'value': 54.99, 'grams': 5000, 'currency': 'EUR', 'rawValue': '€54.99', 'baseValue': 54.99, 'baseCurrency': 'EUR', 'date': '2023-09-11T14:31:23Z', 'pricePer100g': 1.1, 'pricePerProtein100g': 1.38}, 'max': {'value': 14.99, 'grams': 500, 'currency': 'EUR', 'rawValue': '€14.99', 'baseValue': 14.99, 'baseCurrency': 'EUR', 'date': '2023-03-06T17:32:43Z', 'dateUpdated': '2023-03-10T02:06:08Z', 'pricePer100g': 3, 'pricePerProtein100g': 3.75}, 'latest': {'value': 99.99, 'grams': 5000, 'currency': 'EUR', 'rawValue': '€99.99', 'baseValue': 99.99, 'baseCurrency': 'EUR', 'date': '2024-05-15T02:38:49Z'}, 'discount': 33, 'distanceFromMin': 1.12, 'distanceFromMax': 1.25}",/protein/brown-rice-protein
1,2025-07-26T19:16:18.588496,muchproteins_json,Impact Pea Protein,https://www.myprotein.com/sports-nutrition/pea-protein-isolate/10530136.html,Myprotein,impact-pea-protein-262ddb6cc67c4d5b7f004c80007e83c5-500px.png,impact-pea-protein,"Pea Protein Isolate, ['100%']","{'': 'per 100g', 'energy': {'kj': 1624, 'kcal': 388}, 'fat': {'all': 5.5, 'saturated': 1}, 'carbohydrates': {'all': 2.6, 'sugar': 1}, 'fibre': 4.1, 'protein': 80, 'salt': 1.9}","vegetarian, vegan, dairy free, lactose free, soy free, gluten free",2.08,2.6,"{'min': {'value': 11.89, 'grams': 5000, 'currency': 'EUR', 'rawValue': '€11.89', 'baseValue': 11.89, 'baseCurrency': 'EUR', 'date': '2024-09-22T02:45:58Z', 'pricePer100g': 0.24, 'pricePerProtein100g': 0.3}, 'max': {'value': 16.99, 'grams': 500, 'currency': 'EUR', 'rawValue': '€16.99', 'baseValue': 16.99, 'baseCurrency': 'EUR', 'date': '2024-06-19T02:38:55Z', 'pricePer100g': 3.4, 'pricePerProtein100g': 4.25}, 'latest': {'value': 10.4, 'grams': 500, 'currency': 'EUR', 'rawValue': '€10.40', 'baseValue': 10.4, 'baseCurrency': 'EUR', 'date': '2024-09-25T02:50:51Z'}, 'discount': 39, 'distanceFromMin': 2.3000000000000003, 'distanceFromMax': 1.65}",/protein/impact-pea-protein
1,2025-07-26T19:16:18.588520,muchproteins_json,Diet Whey Protein ,https://www.phd.com/eu/shop/protein/diet-whey-powders,PhD Nutrition,diet-whey-protein-723124ff4424d747039109fbaef8af78-500px.png,diet-whey-protein,"PhD Premium Protein Blend, ['Whey* Protein Concentrate', ['Milk Protein Concentrate', ['Of Which 80% Is Micellar Casein']], 'Soya Protein Isolate'], Waxy Barley Flour, Golden Brown Flaxseed Powder, Thickeners, ['Acacia Gum', 'Guar Gum', 'Xanthan Gum'], Flavouring, Conjugated Linoleic Acid Powder, [['Safflower Oil', ['Rich in Conjugated Linoeic Acid']], 'Glucose Syrup', 'Milk Protein', ['Emulsifier', ['Soya Lecithin']], 'Vitamin E'], L-Carnitine, Green Tea Extract, Sweetener, ['Sucralose']","{'typical values (when mixed with water±)': 'per 100g', 'energy': {'kj': 1528, 'kcal': 365}, 'fat': {'all': 5.5, 'saturated': 1.6}, 'carbohydrates': {'all': 11, 'sugar': 5}, 'fibre': 3, 'protein': 68, 'salt': 0.63, 'also provides:': None, 'flaxseed powder': {'all': 3, 'of which is flaxseed oil': 1.2}, 'conjugated linoleic acid powder': {'all': 1.5, 'of which is conjugated linoleic acid': 1}, 'l-carnitine': 0.5, 'green tea extract': 0.4}","vegetarian, gluten free",1.85,2.72,"{'min': {'value': 33, 'grams': 2000, 'currency': 'EUR', 'rawValue': '€33.00', 'baseValue': 33, 'baseCurrency': 'EUR', 'date': '2024-05-03T02:35:23Z', 'pricePer100g': 1.65, 'pricePerProtein100g': 2.43}, 'max': {'value': 73.99, 'grams': 2000, 'currency': 'EUR', 'rawValue': '€73.99', 'baseValue': 73.99, 'baseCurrency': 'EUR', 'date': '2023-04-19T02:38:10Z', 'dateUpdated': '2023-05-02T14:31:11Z', 'pricePer100g': 3.7, 'pricePerProtein100g': 5.44}, 'latest': {'value': 36.99, 'grams': 2000, 'currency': 'EUR', 'rawValue': '€36.99', 'baseValue': 36.99, 'baseCurrency': 'EUR', 'date': '2024-12-10T03:05:31Z'}, 'discount': 50, 'distanceFromMin': 0.29000000000000004, 'distanceFromMax': 2.72}",/protein/diet-whey-protein
1,2025-07-26T19:16:18.588564,muchproteins_json,Smart Protein,https://www.phd.com/eu/shop/protein/phd-smart-protein,PhD Nutrition,smart-protein-b17da803bb8da1bdd22f0ff817334d91-500px.png,smart-protein,"Whey Protein Concentrate, ['Milk'], Milk Protein Concentrate, Whole Grain Oat Flour, ['Gluten'], Flavourings, Sodium Chloride, Stabilisers, ['Acacia Gum', 'Xanthan Gum', 'Guar Gum'], Sweetener, ['Sucralose']","{'typical values': 'per 100g', 'energy': {'kj': 1602, 'kcal': 380}, 'fat': {'all': 8.4, 'saturated': 4.9}, 'carbohydrates': {'all': 14, 'sugar': 2}, 'fibre': 7.3, 'protein': 59, 'salt': 0.77, 'also provides:': None, 'riboflavin': 0, 'calcium': 0.96, 'phosphorus': 0.5, 'zinc': 0.0028}","vegetarian, soy free, WPC, whey",1.8,3.05,"{'min': {'value': 10.79, 'grams': 1000, 'currency': 'EUR', 'rawValue': '€10.79', 'baseValue': 10.79, 'baseCurrency': 'EUR', 'date': '2023-11-21T14:32:35Z', 'pricePer100g': 1.08, 'pricePerProtein100g': 1.83}, 'max': {'value': 14.39, 'grams': 500, 'currency': 'EUR', 'rawValue': '€14.39', 'baseValue': 14.39, 'baseCurrency': 'EUR', 'date': '2023-02-18T02:00:20Z', 'dateUpdated': '2023-02-22T17:32:16Z', 'pricePer100g': 2.88, 'pricePerProtein100g': 4.88}, 'latest': {'value': 17.99, 'grams': 1000, 'currency': 'EUR', 'rawValue': '€17.99', 'baseValue': 17.99, 'baseCurrency': 'EUR', 'date': '2024-12-10T02:58:31Z'}, 'discount': 38, 'distanceFromMin': 1.2199999999999998, 'distanceFromMax': 1.83}",/protein/smart-protein
1,2025-07-26T19:16:18.588593,muchproteins_json,Vegan Soy Protein ,https://www.theproteinworks.com/soy-protein-90-isolate,ProteinWorks,vegan-soy-protein-a1fb66c124484dce5ac203e59c9ea65f-500px.png,vegan-soy-protein,"Soy Protein Isolate, Flavouring, Colour, ['E150c'], Sweetener, ['Sucralose']","{'energy': {'kj': 1561, 'kcal': 373}, 'fat': {'all': 0.4, 'saturated': None}, 'carbohydrates': {'all': 6.4, 'sugar': 0.1}, 'fibre': 0.5, 'protein': 86, 'salt': 2.5}","vegetarian, dairy free, lactose free, vegan, gluten free",2.66,3.09,"{'min': {'value': 90.99, 'grams': 4000, 'currency': 'EUR', 'rawValue': '90.99£', 'baseValue': 90.99, 'baseCurrency': 'GBP', 'date': '2023-03-22T01:54:20Z', 'pricePer100g': 2.27, 'pricePerProtein100g': 2.64}, 'max': {'value': 18.96, 'grams': 500, 'currency': 'EUR', 'rawValue': '16.79£', 'baseValue': 16.79, 'baseCurrency': 'GBP', 'date': '2023-04-27T14:31:20Z', 'pricePer100g': 3.79, 'pricePerProtein100g': 4.41}, 'latest': {'value': 106.25, 'grams': 4000, 'currency': 'EUR', 'rawValue': '87.99£', 'baseValue': 87.99, 'baseCurrency': 'GBP', 'date': '2024-12-10T02:55:27Z'}, 'discount': 30, 'distanceFromMin': 0.44999999999999973, 'distanceFromMax': 1.3200000000000003}",/protein/vegan-soy-protein
